"cuadrante","sector","cvegeo","municipio"
"C-1.1.1","REVOLUCION-ALAMEDA",9015,"CUAUHTEMOC"
"C-1.1.2","CORREDOR-CENTRO",9015,"CUAUHTEMOC"
"C-1.1.3","CORREDOR-CENTRO",9015,"CUAUHTEMOC"
"C-1.1.4","MIXCALCO-HERALDO",9015,"CUAUHTEMOC"
"C-1.1.6","REVOLUCION-ALAMEDA",9015,"CUAUHTEMOC"
"C-1.1.7","REVOLUCION-ALAMEDA",9015,"CUAUHTEMOC"
"C-1.1.8","REVOLUCION-ALAMEDA",9015,"CUAUHTEMOC"
"C-1.1.9","REVOLUCION-ALAMEDA",9015,"CUAUHTEMOC"
"C-1.2.1","MIXCALCO-HERALDO",9015,"CUAUHTEMOC"
"C-1.2.2","MIXCALCO-HERALDO",9015,"CUAUHTEMOC"
"C-1.2.3","MIXCALCO-HERALDO",9015,"CUAUHTEMOC"
"C-1.2.4","MIXCALCO-HERALDO",9015,"CUAUHTEMOC"
"C-1.2.5","MIXCALCO-HERALDO",9015,"CUAUHTEMOC"
"C-1.2.6","MIXCALCO-HERALDO",9015,"CUAUHTEMOC"
"C-1.2.7","CORREDOR-CENTRO",9015,"CUAUHTEMOC"
"C-1.2.8","CORREDOR-CENTRO",9015,"CUAUHTEMOC"
"C-1.3.1","REVOLUCION-ALAMEDA",9015,"CUAUHTEMOC"
"C-1.3.10","ANGEL-ZONA ROSA",9015,"CUAUHTEMOC"
"C-1.3.11","ANGEL-ZONA ROSA",9015,"CUAUHTEMOC"
"C-1.3.12","ANGEL-ZONA ROSA",9015,"CUAUHTEMOC"
"C-1.3.13","ANGEL-ZONA ROSA",9015,"CUAUHTEMOC"
"C-1.3.14","ANGEL-ZONA ROSA",9015,"CUAUHTEMOC"
"C-1.3.15","ANGEL-ZONA ROSA",9015,"CUAUHTEMOC"
"C-1.3.16","ANGEL-ZONA ROSA",9015,"CUAUHTEMOC"
"C-1.3.17","ANGEL-ZONA ROSA",9015,"CUAUHTEMOC"
"C-1.3.18","ANGEL-ZONA ROSA",9015,"CUAUHTEMOC"
"C-1.3.19","ANGEL-ZONA ROSA",9015,"CUAUHTEMOC"
"C-1.3.2","REVOLUCION-ALAMEDA",9015,"CUAUHTEMOC"
"C-1.3.20","ANGEL-ZONA ROSA",9015,"CUAUHTEMOC"
"C-1.3.3","REVOLUCION-ALAMEDA",9015,"CUAUHTEMOC"
"C-1.3.4","REVOLUCION-ALAMEDA",9015,"CUAUHTEMOC"
"C-1.3.5","REVOLUCION-ALAMEDA",9015,"CUAUHTEMOC"
"C-1.3.6","REVOLUCION-ALAMEDA",9015,"CUAUHTEMOC"
"C-1.3.7","REVOLUCION-ALAMEDA",9015,"CUAUHTEMOC"
"C-1.3.8","REVOLUCION-ALAMEDA",9015,"CUAUHTEMOC"
"C-1.3.9","ANGEL-ZONA ROSA",9015,"CUAUHTEMOC"
"C-1.5.5","MIXCALCO-HERALDO",9015,"CUAUHTEMOC"
"C-2.1.1","ASTURIAS",9015,"CUAUHTEMOC"
"C-2.1.10","ASTURIAS",9015,"CUAUHTEMOC"
"C-2.1.11","ASTURIAS",9015,"CUAUHTEMOC"
"C-2.1.12","ASTURIAS",9015,"CUAUHTEMOC"
