"crime","date","count"
"HOMICIDIO DOLOSO","2013-01-01",67
"HOMICIDIO DOLOSO","2013-02-01",64
"HOMICIDIO DOLOSO","2013-03-01",73
"HOMICIDIO DOLOSO","2013-04-01",52
"HOMICIDIO DOLOSO","2013-05-01",80
"HOMICIDIO DOLOSO","2013-06-01",59
"HOMICIDIO DOLOSO","2013-07-01",46
"HOMICIDIO DOLOSO","2013-08-01",65
"HOMICIDIO DOLOSO","2013-09-01",53
"HOMICIDIO DOLOSO","2013-10-01",69
"HOMICIDIO DOLOSO","2013-11-01",66
"HOMICIDIO DOLOSO","2013-12-01",55
"HOMICIDIO DOLOSO","2014-01-01",63
"HOMICIDIO DOLOSO","2014-02-01",43
"HOMICIDIO DOLOSO","2014-03-01",75
"HOMICIDIO DOLOSO","2014-04-01",66
"HOMICIDIO DOLOSO","2014-05-01",57
"HOMICIDIO DOLOSO","2014-06-01",57
"HOMICIDIO DOLOSO","2014-07-01",52
"HOMICIDIO DOLOSO","2014-08-01",54
"HOMICIDIO DOLOSO","2014-09-01",59
"HOMICIDIO DOLOSO","2014-10-01",64
"HOMICIDIO DOLOSO","2014-11-01",80
"HOMICIDIO DOLOSO","2014-12-01",79
"HOMICIDIO DOLOSO","2015-01-01",59
"HOMICIDIO DOLOSO","2015-02-01",62
"HOMICIDIO DOLOSO","2015-03-01",59
"HOMICIDIO DOLOSO","2015-04-01",81
"HOMICIDIO DOLOSO","2015-05-01",84
"HOMICIDIO DOLOSO","2015-06-01",73
"HOMICIDIO DOLOSO","2015-07-01",73
"HOMICIDIO DOLOSO","2015-08-01",75
"HOMICIDIO DOLOSO","2015-09-01",76
"HOMICIDIO DOLOSO","2015-10-01",67
"HOMICIDIO DOLOSO","2015-11-01",73
"HOMICIDIO DOLOSO","2015-12-01",72
"HOMICIDIO DOLOSO","2016-01-01",69
"HOMICIDIO DOLOSO","2016-02-01",69
"HOMICIDIO DOLOSO","2016-03-01",78
"HOMICIDIO DOLOSO","2016-04-01",73
"HOMICIDIO DOLOSO","2016-05-01",81
"HOMICIDIO DOLOSO","2016-06-01",77
"HOMICIDIO DOLOSO","2016-07-01",77
"HOMICIDIO DOLOSO","2016-08-01",68
"HOMICIDIO DOLOSO","2016-09-01",94
"LESIONES POR ARMA DE FUEGO","2013-01-01",105
